STATION,NAME,DATE,TAVG
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/15/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/16/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/17/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/18/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/19/2017,67
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/20/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/21/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/22/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/23/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/24/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/25/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/26/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/27/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/28/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/29/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/30/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",5/31/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/1/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/2/2017,72
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/3/2017,69
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/4/2017,71
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/5/2017,73
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/6/2017,74
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/7/2017,75
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/8/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/9/2017,76
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/10/2017,68
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/11/2017,64
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/12/2017,68
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/13/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/14/2017,70
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",6/15/2017,70
