"STATION","NAME","DATE","TMAX","TMIN"
"NOE00134634","LEINSTRAND, NO","2017-07-28",,
"NOE00134634","LEINSTRAND, NO","2017-07-29",,
"NOE00134634","LEINSTRAND, NO","2017-07-30",,
"NOE00134634","LEINSTRAND, NO","2017-07-31",,
"NOE00134634","LEINSTRAND, NO","2017-08-01",,
"NOE00134634","LEINSTRAND, NO","2017-08-02",,
"NOE00134634","LEINSTRAND, NO","2017-08-03",,
"NOE00134634","LEINSTRAND, NO","2017-08-04",,
"NOE00134634","LEINSTRAND, NO","2017-08-05",,
"NOE00134634","LEINSTRAND, NO","2017-08-06",,
"NOE00134634","LEINSTRAND, NO","2017-08-07",,
"NOE00134634","LEINSTRAND, NO","2017-08-08",,
"NOE00134634","LEINSTRAND, NO","2017-08-09",,
"NOE00134634","LEINSTRAND, NO","2017-08-10",,
"NOE00134634","LEINSTRAND, NO","2017-08-11",,
"NOE00134634","LEINSTRAND, NO","2017-08-12",,
"NOE00134634","LEINSTRAND, NO","2017-08-13",,
"NOE00134634","LEINSTRAND, NO","2017-08-14",,
"NOE00134634","LEINSTRAND, NO","2017-08-15",,
"NOE00134634","LEINSTRAND, NO","2017-08-16",,
"NOE00134634","LEINSTRAND, NO","2017-08-17",,
"NOE00134634","LEINSTRAND, NO","2017-08-18",,
"NOE00134634","LEINSTRAND, NO","2017-08-19",,
"NOE00134634","LEINSTRAND, NO","2017-08-20",,
"NOE00134634","LEINSTRAND, NO","2017-08-21",,
"NOE00134634","LEINSTRAND, NO","2017-08-22",,
"NOE00134634","LEINSTRAND, NO","2017-08-23",,
"NOE00134634","LEINSTRAND, NO","2017-08-24",,
"NOE00134634","LEINSTRAND, NO","2017-08-25",,
"NOE00134634","LEINSTRAND, NO","2017-08-26",,
"NOE00134634","LEINSTRAND, NO","2017-08-27",,
"NOE00134634","LEINSTRAND, NO","2017-08-28",,
"NOE00134634","LEINSTRAND, NO","2017-08-29",,
"NOE00134634","LEINSTRAND, NO","2017-08-30",,
"NOE00134634","LEINSTRAND, NO","2017-08-31",,
"NOE00134634","LEINSTRAND, NO","2017-09-01",,
"NOE00134634","LEINSTRAND, NO","2017-09-02",,
"NOE00134634","LEINSTRAND, NO","2017-09-03",,
"NOE00134634","LEINSTRAND, NO","2017-09-04",,
"NOE00134634","LEINSTRAND, NO","2017-09-05",,
"NOE00134634","LEINSTRAND, NO","2017-09-06",,
"NOE00134634","LEINSTRAND, NO","2017-09-07",,
"NOE00134634","LEINSTRAND, NO","2017-09-08",,
"NOE00134634","LEINSTRAND, NO","2017-09-09",,
"NOE00134634","LEINSTRAND, NO","2017-09-10",,
"NOE00134634","LEINSTRAND, NO","2017-09-11",,
"NOE00134634","LEINSTRAND, NO","2017-09-12",,
"NOE00134634","LEINSTRAND, NO","2017-09-13",,
"NOE00134634","LEINSTRAND, NO","2017-09-14",,
"NOE00134634","LEINSTRAND, NO","2017-09-15",,
"NOE00134634","LEINSTRAND, NO","2017-09-16",,
"NOE00134634","LEINSTRAND, NO","2017-09-17",,
"NOE00134634","LEINSTRAND, NO","2017-09-18",,
"NOE00134634","LEINSTRAND, NO","2017-09-19",,
"NOE00134634","LEINSTRAND, NO","2017-09-20",,
"NOE00134634","LEINSTRAND, NO","2017-09-21",,
"NOE00134634","LEINSTRAND, NO","2017-09-22",,
"NOE00134634","LEINSTRAND, NO","2017-09-23",,
"NOE00134634","LEINSTRAND, NO","2017-09-24",,
"NOE00134634","LEINSTRAND, NO","2017-09-25",,
"NOE00134634","LEINSTRAND, NO","2017-09-26",,
"NOE00134634","LEINSTRAND, NO","2017-09-27",,
"NOE00134634","LEINSTRAND, NO","2017-09-28",,
"NOE00134634","LEINSTRAND, NO","2017-09-29",,
"NOE00134634","LEINSTRAND, NO","2017-09-30",,
"NOE00134634","LEINSTRAND, NO","2017-10-01",,
"NOE00134634","LEINSTRAND, NO","2017-10-02",,
"NOE00134634","LEINSTRAND, NO","2017-10-03",,
"NOE00134634","LEINSTRAND, NO","2017-10-04",,
"NOE00134634","LEINSTRAND, NO","2017-10-05",,
"NOE00134634","LEINSTRAND, NO","2017-10-06",,
"NOE00134634","LEINSTRAND, NO","2017-10-07",,
"NOE00134634","LEINSTRAND, NO","2017-10-08",,
"NOE00134634","LEINSTRAND, NO","2017-10-09",,
"NOE00134634","LEINSTRAND, NO","2017-10-10",,
"NOE00134634","LEINSTRAND, NO","2017-10-11",,
"NOE00134634","LEINSTRAND, NO","2017-10-12",,
"NOE00134634","LEINSTRAND, NO","2017-10-13",,
"NOE00134634","LEINSTRAND, NO","2017-10-14",,
"NOE00134634","LEINSTRAND, NO","2017-10-15",,
"NOE00134634","LEINSTRAND, NO","2017-10-16",,
"NOE00134634","LEINSTRAND, NO","2017-10-17",,
"NOE00134634","LEINSTRAND, NO","2017-10-18",,
"NOE00134634","LEINSTRAND, NO","2017-10-19",,
"NOE00134634","LEINSTRAND, NO","2017-10-20",,
"NOE00134634","LEINSTRAND, NO","2017-10-21",,
"NOE00134634","LEINSTRAND, NO","2017-10-22",,
"NOE00134634","LEINSTRAND, NO","2017-10-23",,
"NOE00134634","LEINSTRAND, NO","2017-10-24",,
"NOE00134634","LEINSTRAND, NO","2017-10-25",,
"NOE00134634","LEINSTRAND, NO","2017-10-26",,
"NOE00134634","LEINSTRAND, NO","2017-10-27",,
"NOE00134634","LEINSTRAND, NO","2017-10-28",,
"NOE00134634","LEINSTRAND, NO","2017-10-29",,
"NOE00134634","LEINSTRAND, NO","2017-10-30",,
"NOE00134634","LEINSTRAND, NO","2017-10-31",,
"NOE00134634","LEINSTRAND, NO","2017-11-01",,
"NOE00134634","LEINSTRAND, NO","2017-11-02",,
"NOE00134634","LEINSTRAND, NO","2017-11-03",,
"NOE00134634","LEINSTRAND, NO","2017-11-04",,
"NOE00134634","LEINSTRAND, NO","2017-11-05",,
"NOE00134634","LEINSTRAND, NO","2017-11-06",,
"NOE00134634","LEINSTRAND, NO","2017-11-07",,
"NOE00134634","LEINSTRAND, NO","2017-11-08",,
"NOE00134634","LEINSTRAND, NO","2017-11-09",,
"NOE00134634","LEINSTRAND, NO","2017-11-10",,
"NOE00134634","LEINSTRAND, NO","2017-11-11",,
"NOE00134634","LEINSTRAND, NO","2017-11-12",,
"NOE00134634","LEINSTRAND, NO","2017-11-13",,
"NOE00134634","LEINSTRAND, NO","2017-11-14",,
"NOE00134634","LEINSTRAND, NO","2017-11-15",,
"NOE00134634","LEINSTRAND, NO","2017-11-16",,
"NOE00134634","LEINSTRAND, NO","2017-11-17",,
"NOE00134634","LEINSTRAND, NO","2017-11-18",,
"NOE00134634","LEINSTRAND, NO","2017-11-19",,
"NOE00134634","LEINSTRAND, NO","2017-11-20",,
"NOE00134634","LEINSTRAND, NO","2017-11-21",,
"NOE00134634","LEINSTRAND, NO","2017-11-22",,
"NOE00134634","LEINSTRAND, NO","2017-11-23",,
"NOE00134634","LEINSTRAND, NO","2017-11-24",,
"NOE00134634","LEINSTRAND, NO","2017-11-25",,
"NOE00134634","LEINSTRAND, NO","2017-11-26",,
"NOE00134634","LEINSTRAND, NO","2017-11-27",,
"NOE00134634","LEINSTRAND, NO","2017-11-28",,
"NOE00134634","LEINSTRAND, NO","2017-11-29",,
"NOE00134634","LEINSTRAND, NO","2017-11-30",,
"NOE00134634","LEINSTRAND, NO","2017-12-01",,
"NOE00134634","LEINSTRAND, NO","2017-12-02",,
"NOE00134634","LEINSTRAND, NO","2017-12-03",,
"NOE00134634","LEINSTRAND, NO","2017-12-04",,
"NOE00134634","LEINSTRAND, NO","2017-12-05",,
"NOE00134634","LEINSTRAND, NO","2017-12-06",,
"NOE00134634","LEINSTRAND, NO","2017-12-07",,
"NOE00134634","LEINSTRAND, NO","2017-12-08",,
"NOE00134634","LEINSTRAND, NO","2017-12-09",,
"NOE00134634","LEINSTRAND, NO","2017-12-10",,
"NOE00134634","LEINSTRAND, NO","2017-12-11",,
"NOE00134634","LEINSTRAND, NO","2017-12-12",,
"NOE00134634","LEINSTRAND, NO","2017-12-13",,
"NOE00134634","LEINSTRAND, NO","2017-12-14",,
"NOE00134634","LEINSTRAND, NO","2017-12-15",,
"NOE00134634","LEINSTRAND, NO","2017-12-16",,
"NOE00134634","LEINSTRAND, NO","2017-12-17",,
