Name,Station,Time(norwegian mean time),Mean air temperature (24 h)
"Oslo - Blindern, NO",SN18700,25.11.1980,-5.5
"Oslo - Blindern, NO",SN18700,26.11.1980,-8.8
"Oslo - Blindern, NO",SN18700,27.11.1980,-9.4
"Oslo - Blindern, NO",SN18700,28.11.1980,-7.4
"Oslo - Blindern, NO",SN18700,29.11.1980,-5.8
"Oslo - Blindern, NO",SN18700,30.11.1980,-6.4
"Oslo - Blindern, NO",SN18700,01.12.1980,-1.2
"Oslo - Blindern, NO",SN18700,02.12.1980,1.1
"Oslo - Blindern, NO",SN18700,03.12.1980,-3
"Oslo - Blindern, NO",SN18700,04.12.1980,-5.1
"Oslo - Blindern, NO",SN18700,05.12.1980,-8.8
"Oslo - Blindern, NO",SN18700,06.12.1980,-8.5
"Oslo - Blindern, NO",SN18700,07.12.1980,-6.9
"Oslo - Blindern, NO",SN18700,08.12.1980,-3.7
"Oslo - Blindern, NO",SN18700,09.12.1980,3.2
"Oslo - Blindern, NO",SN18700,10.12.1980,0.1
"Oslo - Blindern, NO",SN18700,11.12.1980,-1.4
"Oslo - Blindern, NO",SN18700,12.12.1980,-3.6
"Oslo - Blindern, NO",SN18700,13.12.1980,4.2
"Oslo - Blindern, NO",SN18700,14.12.1980,0.7
"Oslo - Blindern, NO",SN18700,15.12.1980,0.9
"Oslo - Blindern, NO",SN18700,16.12.1980,-4.6
"Oslo - Blindern, NO",SN18700,17.12.1980,-0.1
"Oslo - Blindern, NO",SN18700,18.12.1980,3
"Oslo - Blindern, NO",SN18700,19.12.1980,-0.6
"Oslo - Blindern, NO",SN18700,20.12.1980,0
"Oslo - Blindern, NO",SN18700,21.12.1980,-0.7
"Oslo - Blindern, NO",SN18700,22.12.1980,-1.8
"Oslo - Blindern, NO",SN18700,23.12.1980,-2.5
"Oslo - Blindern, NO",SN18700,24.12.1980,0.6
"Oslo - Blindern, NO",SN18700,25.12.1980,-2.9
"Oslo - Blindern, NO",SN18700,26.12.1980,-2.8
"Oslo - Blindern, NO",SN18700,27.12.1980,-6.8
"Oslo - Blindern, NO",SN18700,28.12.1980,2.6
"Oslo - Blindern, NO",SN18700,29.12.1980,5.8
"Oslo - Blindern, NO",SN18700,30.12.1980,3.3
"Oslo - Blindern, NO",SN18700,31.12.1980,2
